,efficacy,age_group,age_group_num,doses
1,10,0-,1,0.1710465445
9,10,1-,2,0.6874739431
17,10,5-,3,4.7982710355
25,10,10-,4,4.8425278294
33,10,15-,5,8.754106413
41,10,20-,6,15.2961881782
49,10,25-,7,15.6446464045
57,10,30-,8,14.8897649823
65,10,35-,9,14.1978089692
73,10,40-,10,13.4612923812
81,10,45-,11,14.3165355628
89,10,50-,12,4.8236718931
97,10,55-,13,4.8548265624
105,10,60-,14,4.303289169
113,10,65-,15,6.4755731469
121,10,70-,16,4.5468335876
129,10,75-,17,7.9361433975
2,20,0-,1,-8E-11
10,20,1-,2,-3.2E-10
18,20,5-,3,10.0399307857
26,20,10-,4,10.1325339639
34,20,15-,5,12.167669951
42,20,20-,6,15.7219302783
50,20,25-,7,16.0800872175
58,20,30-,8,15.3041950179
66,20,35-,9,14.5929796441
74,20,40-,10,13.8359634311
82,20,45-,11,14.7150107804
90,20,50-,12,2.2474943822
98,20,55-,13,2.2620102834
106,20,60-,14,2.0050323585
114,20,65-,15,3.7214036614
122,20,70-,16,2.6129892717
130,20,75-,17,4.560768974
3,30,0-,1,-4E-11
11,30,1-,2,-1.4E-10
19,30,5-,3,12.9701908263
27,30,10-,4,13.0898212219
35,30,15-,5,14.2592363926
43,30,20-,6,16.4452419179
51,30,25-,7,16.8198764192
59,30,30-,8,16.0082881028
67,30,35-,9,15.2643521693
75,30,40-,10,14.4725082583
83,30,45-,11,15.3919975362
91,30,50-,12,0.4619339931
99,30,55-,13,0.4649174881
107,30,60-,14,0.4121000751
115,30,65-,15,1.34560664
123,30,70-,16,0.94481976
131,30,75-,17,1.6491092
4,40,0-,1,0.0794029
12,40,1-,2,0.3191378399
20,40,5-,3,16.6673869641
28,40,10-,4,16.8211184029
36,40,15-,5,16.0869793859
44,40,20-,6,15.2096668549
52,40,25-,7,15.5561540629
60,40,30-,8,14.80554255
68,40,35-,9,14.1175005153
76,40,40-,10,13.3851499577
84,40,45-,11,14.2355555439
92,40,50-,12,0.9159547611
100,40,55-,13,0.9218706418
108,40,60-,14,0.817140612
116,40,65-,15,0.0209854019
124,40,70-,16,0.014734932
132,40,75-,17,0.0257186746
5,50,0-,1,0
13,50,1-,2,0
21,50,5-,3,17.9593351893
29,50,10-,4,18.1249828966
37,50,15-,5,16.8674797245
45,50,20-,6,15.1534327405
53,50,25-,7,15.4986388947
61,50,30-,8,14.7508025888
69,50,35-,9,14.0653044254
77,50,40-,10,13.3356615591
85,50,45-,11,14.1829229737
93,50,50-,12,0.0211962607
101,50,55-,13,0.0213331611
109,50,60-,14,0.0189095862
117,50,65-,15,0
125,50,70-,16,0
133,50,75-,17,0
6,60,0-,1,-2E-11
14,60,1-,2,-6E-11
22,60,5-,3,19.4780319459
30,60,10-,4,19.6576873342
38,60,15-,5,17.5671969956
46,60,20-,6,14.5106762171
54,60,25-,7,14.841239913
62,60,30-,8,14.1251242523
70,60,35-,9,13.4687025644
78,60,40-,10,12.7700086402
86,60,45-,11,13.5813321382
94,60,50-,12,8E-11
102,60,55-,13,8E-11
110,60,60-,14,8E-11
118,60,65-,15,-6E-11
126,60,70-,16,-4E-11
134,60,75-,17,-8E-11
7,70,0-,1,0.0027485266
15,70,1-,2,0.011046937
23,70,5-,3,19.8956749224
31,70,10-,4,20.0791824355
39,70,15-,5,17.7577253882
47,70,20-,6,14.3289009614
55,70,25-,7,14.6553236855
63,70,30-,8,13.9481788064
71,70,35-,9,13.2999801138
79,70,40-,10,12.610038729
87,70,45-,11,13.4111987767
95,70,50-,12,1.985E-07
103,70,55-,13,1.9978E-07
111,70,60-,14,1.7708E-07
119,70,65-,15,4.88E-08
127,70,70-,16,3.426E-08
135,70,75-,17,5.982E-08
8,80,0-,1,0.000000057
16,80,1-,2,2.291E-07
24,80,5-,3,19.3968453711
32,80,10-,4,19.575751936
40,80,15-,5,17.5292043433
48,80,20-,6,14.5434820069
56,80,25-,7,14.8747930424
64,80,30-,8,14.1570583849
72,80,35-,9,13.4991526564
80,80,40-,10,12.7988791226
88,80,45-,11,13.6120368636
96,80,50-,12,0.0044145746
104,80,55-,13,0.004443087
112,80,60-,14,0.0039383257
120,80,65-,15,0
128,80,70-,16,0
136,80,75-,17,0
